NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,TEAM
11.0,Trae Young,PG,6-1,164.0,1998-09-19,US US,6,Oklahoma,ATL
1.0,Jalen Johnson,SF,6-9,220.0,2001-12-18,US US,3,Duke,ATL
10.0,Zaccharie Risacher,SF,6-9,200.0,2005-04-08,ES ES,R,,ATL
15.0,Clint Capela,C,6-10,240.0,1994-05-18,CH CH,10,,ATL
24.0,Garrison Mathews,SG,6-5,215.0,1996-10-24,US US,5,Lipscomb,ATL
17.0,Onyeka Okongwu,C,6-8,235.0,2000-12-11,US US,4,USC,ATL
5.0,Dyson Daniels,PG,6-8,199.0,2003-03-17,AU AU,2,,ATL
8.0,David Roddy,PF,6-4,255.0,2001-03-27,US US,2,Colorado State,ATL
2.0,Keaton Wallace (TW),PG,6-4,195.0,1999-02-26,US US,R,Texas-San Antonio,ATL
22.0,Larry Nance Jr.,PF,6-8,245.0,1993-01-01,US US,9,Wyoming,ATL
27.0,Vit Krejci,PG,6-8,195.0,2000-06-19,CZ CZ,3,,ATL
12.0,De'Andre Hunter,SF,6-8,225.0,1997-12-02,US US,5,Virginia,ATL
18.0,Mouhamed Gueye,PF,6-11,210.0,2002-11-09,SN SN,1,Washington State,ATL
0.0,Dominick Barlow (TW),SF,6-9,221.0,2003-05-26,US US,2,,ATL
13.0,Bogdan Bogdanović,SG,6-5,220.0,1992-08-18,RS RS,7,,ATL
,Cody Zeller,C,6-11,240.0,1992-10-05,US US,11,Indiana,ATL
,Seth Lundy (TW),SF,6-6,220.0,2000-04-02,US US,1,Penn State,ATL
,Kobe Bufkin,SG,6-4,195.0,2003-09-21,US US,1,Michigan,ATL
0.0,Jayson Tatum,SF,6-8,210.0,1998-03-03,US US,7,Duke,BOS
9.0,Derrick White,SG,6-4,190.0,1994-07-02,US US,7,"Colorado-Colorado Springs, Colorado",BOS
11.0,Payton Pritchard,SG,6-1,195.0,1998-01-28,US US,4,Oregon,BOS
4.0,Jrue Holiday,PG,6-4,205.0,1990-06-12,US US,15,UCLA,BOS
40.0,Luke Kornet,C,7-2,250.0,1995-07-15,US US,7,Vanderbilt,BOS
42.0,Al Horford,C,6-9,240.0,1986-06-03,DO DO,17,Florida,BOS
88.0,Neemias Queta,C,7-0,245.0,1999-07-13,PT PT,3,Utah State University,BOS
27.0,Jordan Walsh,SF,6-7,205.0,2004-03-03,US US,1,Arkansas,BOS
26.0,Xavier Tillman Sr.,PF,6-8,245.0,1999-01-12,US US,4,Michigan State,BOS
7.0,Jaylen Brown,SF,6-6,223.0,1996-10-24,US US,8,California,BOS
30.0,Sam Hauser,PF,6-8,215.0,1997-12-08,US US,3,"Marquette, Virginia",BOS
44.0,Jaden Springer,PG,6-4,204.0,2002-09-25,US US,3,Tennessee,BOS
55.0,Baylor Scheierman,SG,6-6,205.0,2000-09-26,US US,R,"South Dakota State, Creighton",BOS
20.0,JD Davison (TW),PG,6-1,195.0,2002-10-03,US US,2,Alabama,BOS
13.0,Drew Peterson (TW),PF,6-9,205.0,1999-11-09,US US,1,"Rice University, USC",BOS
,Kristaps Porziņģis,PF,7-2,240.0,1995-08-02,LV LV,8,,BOS
,Anton Watson (TW),SF,6-8,225.0,2000-10-06,US US,R,Gonzaga,BOS
9.0,Nikola Vučević,C,6-10,260.0,1990-10-24,CH CH,13,USC,CHI
0.0,Coby White,PG,6-5,195.0,2000-02-16,US US,5,UNC,CHI
3.0,Josh Giddey,SG,6-8,210.0,2002-10-10,AU AU,3,,CHI
11.0,Ayo Dosunmu,SG,6-5,200.0,2000-01-17,US US,3,Illinois,CHI
44.0,Patrick Williams,PF,6-7,215.0,2001-08-26,US US,4,Florida State,CHI
